TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,TransactionAmount_Binned,CustomerAge_Binned,Target
14.09,2023-04-11 16:29:14,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,2024-11-04 8:08:08,0,4,0
376.24,2023-06-27 16:44:19,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2024-11-04 8:09:35,2,4,2
126.29,2023-07-10 18:16:08,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,2024-11-04 8:07:04,0,0,2
184.5,2023-05-05 16:32:11,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,2024-11-04 8:09:06,1,0,0
92.15,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,2024-11-04 8:06:36,0,0,0
815.96,2023-03-31 16:06:57,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,2024-11-04 8:06:32,4,2,0
190.02,2023-02-06 17:30:00,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,2024-11-04 8:07:12,1,0,0
781.76,2023-11-20 16:39:15,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,2024-11-04 8:07:06,4,0,1
166.99,2023-02-13 16:53:57,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,2024-11-04 8:10:09,0,0,0
465.45,2023-12-12 16:23:31,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,2024-11-04 8:12:19,2,1,1
492.93,2023-12-14 18:32:14,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,2024-11-04 8:11:51,2,1,1
59.32,2023-02-28 16:36:58,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,2024-11-04 8:09:24,0,4,0
85.77,2023-08-11 18:31:31,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,2024-11-04 8:08:13,0,1,2
52.2,2023-06-06 18:54:15,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,2024-11-04 8:07:01,0,1,2
145.54,2023-03-02 16:43:56,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,2024-11-04 8:07:09,0,0,0
40.32,2023-03-29 16:42:38,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,2024-11-04 8:11:59,0,1,0
127.45,2023-01-24 16:18:32,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,2024-11-04 8:11:22,0,2,0
56.17,2023-09-20 16:55:42,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,2024-11-04 8:08:30,0,0,1
59.12,2023-02-06 16:24:24,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,2024-11-04 8:06:58,0,0,0
877.81,2023-03-13 17:23:24,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,2024-11-04 8:07:50,4,0,0
124.76,2023-10-16 16:32:56,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,2024-11-04 8:06:23,0,2,1
78.13,2023-11-21 16:58:44,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,2024-11-04 8:12:18,0,0,1
335.63,2023-01-24 17:17:20,Debit,Oklahoma City,Online,55.0,Retired,215.99999999999997,1.0,1019.39,2024-11-04 8:07:32,1,2,0
328.47,2023-07-31 18:39:50,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,2024-11-04 8:07:31,1,3,2
34.02,2023-01-09 16:13:21,Debit,Philadelphia,Online,38.0,Doctor,18.999999999999996,1.0,14214.48,2024-11-04 8:11:45,0,1,0
55.32,2023-04-12 16:03:37,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79000000000002,2024-11-04 8:08:03,0,0,0
304.31,2023-07-26 16:52:28,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,2024-11-04 8:09:53,1,0,2
435.27,2023-10-04 17:49:29,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,2024-11-04 8:11:12,2,4,1
164.49,2023-12-13 16:01:38,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,2024-11-04 8:10:33,0,0,1
510.23999999999995,2023-10-09 16:29:40,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,2024-11-04 8:11:35,2,0,1
626.9,2023-11-27 16:45:57,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,2024-11-04 8:07:24,3,0,1
424.56,2023-02-21 17:45:55,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,nan,2,2,0
85.43,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,2024-11-04 8:06:45,0,3,2
169.5,2023-09-07 16:51:27,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8799999999999,2024-11-04 8:08:58,0,0,2
104.63,2023-03-29 17:47:16,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,2024-11-04 8:10:42,0,3,0
316.95,2023-08-04 17:53:40,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,2024-11-04 8:09:15,1,0,2
386.52,2023-06-09 16:18:15,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,2024-11-04 8:07:09,2,2,2
112.07,2023-10-02 16:35:22,Debit,Kansas City,Branch,23.0,Student,51.00000000000001,1.0,930.3,2024-11-04 8:11:37,0,0,1
568.52,2023-10-06 18:44:37,Debit,Indianapolis,ATM,46.0,Engineer,151.99999999999997,1.0,5499.91,nan,3,2,1
349.64,2023-11-07 16:48:23,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,2024-11-04 8:08:09,1,2,1
5.77,2023-11-02 16:01:40,Debit,Charlotte,Online,50.0,Doctor,123.99999999999999,1.0,13988.12,2024-11-04 8:11:32,0,2,1
298.42,2023-04-25 16:11:24,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,2024-11-04 8:10:12,1,3,0
521.06,2023-04-18 18:40:47,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,2024-11-04 8:12:10,2,0,0
133.55,2023-07-18 16:12:00,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.2800000000007,2024-11-04 8:10:18,0,2,2
143.21,2023-01-13 17:00:16,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,2024-11-04 8:09:26,0,1,0
24.77,2023-07-04 18:20:33,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,2024-11-04 8:12:15,0,3,2
232.12,2023-12-28 17:31:03,Debit,nan,ATM,37.0,Engineer,51.00000000000001,1.0,6689.87,2024-11-04 8:09:17,1,1,1
297.65646754281164,2023-06-12 17:53:52,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.17,2024-11-04 8:08:22,1,0,2
91.53,2023-03-13 16:32:12,Debit,Milwaukee,Branch,44.0,Doctor,69.00000000000001,1.0,14676.05,2024-11-04 8:11:36,0,2,0
120.29,2023-12-18 18:46:27,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,2024-11-04 8:06:50,0,0,1
174.25,2023-07-17 18:54:31,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,2024-11-04 8:10:29,0,2,2
183.71,2023-06-19 18:22:10,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,2024-11-04 8:09:51,1,1,2
259.91,2023-11-06 16:34:10,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,2024-11-04 8:09:38,1,2,1
154.71,2023-07-03 16:40:24,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,2024-11-04 8:09:42,0,1,2
24.56,2023-10-20 17:27:35,Debit,Mesa,Branch,64.0,Doctor,69.00000000000001,1.0,9869.93,2024-11-04 8:12:05,0,3,1
392.96,2023-11-20 16:28:09,Debit,Kansas City,Online,24.0,Student,100.00000000000001,1.0,791.65,2024-11-04 8:08:38,2,0,1
230.66,2023-03-27 18:16:04,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,2024-11-04 8:10:44,1,0,0
644.17,2023-03-02 16:05:09,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,2024-11-04 8:08:04,3,0,0
25.36,2023-07-17 17:08:24,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,2024-11-04 8:11:05,0,3,2
147.62,2023-09-01 17:26:02,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,2024-11-04 8:07:22,0,4,2
115.02,2023-09-11 16:19:04,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,2024-11-04 8:08:38,0,1,1
383.37,2023-01-24 17:23:56,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,2024-11-04 8:11:07,2,0,0
196.16,2023-02-24 16:29:23,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,2024-11-04 8:08:32,1,0,0
129.94,2023-01-02 16:36:02,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.919999999999,2024-11-04 8:06:35,0,1,0
306.9,2023-11-30 16:31:03,Debit,Colorado Springs,Online,46.0,Engineer,51.00000000000001,1.0,9418.08,2024-11-04 8:10:48,1,2,1
114.98,2023-11-01 16:52:01,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,2024-11-04 8:09:24,0,3,1
756.59,2023-03-06 16:47:02,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,2024-11-04 8:11:40,4,0,0
503.76000000000005,2023-11-27 18:32:49,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,2024-11-04 8:09:22,2,0,1
143.03,2023-07-31 16:37:46,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.450000000001,2024-11-04 8:10:42,0,3,2
327.86,2023-02-10 16:52:48,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,2024-11-04 8:06:30,1,1,0
2.5,2023-07-21 16:43:11,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,2024-11-04 8:09:53,0,2,2
407.65,2023-07-07 16:11:38,Debit,Boston,Online,26.0,Engineer,61.99999999999999,1.0,8346.64,nan,2,0,2
115.83,2023-05-22 17:09:52,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,2024-11-04 8:10:02,0,1,2
53.57,2023-08-16 16:17:12,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,2024-11-04 8:08:43,0,4,2
317.87,nan,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,2024-11-04 8:11:32,1,0,1
331.65,2023-08-25 17:26:07,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,2024-11-04 8:11:00,1,1,2
5.04,2023-11-27 16:38:34,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,2024-11-04 8:10:48,0,3,1
598.81,2023-09-04 16:48:35,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,2024-11-04 8:10:13,3,3,2
841.28,2023-08-09 17:34:26,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,2024-11-04 8:09:58,4,0,2
38.15,2023-09-07 16:07:40,Debit,Mesa,Online,26.0,Student,107.99999999999999,1.0,303.68,2024-11-04 8:07:42,0,0,2
124.72,2023-07-03 17:14:07,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,2024-11-04 8:07:25,0,1,2
208.04,2023-11-20 17:10:02,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,2024-11-04 8:08:45,1,2,1
381.33,2023-08-21 16:46:05,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,2024-11-04 8:09:32,2,3,2
16.16,2023-10-16 16:59:36,Debit,Milwaukee,ATM,50.0,Doctor,123.99999999999999,1.0,14401.17,2024-11-04 8:11:59,0,2,1
486.0799999999999,2023-06-20 17:21:50,Debit,Oklahoma City,Online,18.0,Student,68.00000000000001,1.0,1748.69,2024-11-04 8:07:03,2,0,2
336.39,2023-01-16 16:53:38,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,2024-11-04 8:09:57,1,0,0
234.57,2023-09-01 16:09:08,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,2024-11-04 8:08:47,1,0,2
6.0,2023-10-23 18:38:15,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,2024-11-04 8:09:43,0,0,1
227.14,2023-07-03 17:42:08,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,2024-11-04 8:11:34,1,0,2
45.85,2023-02-16 17:57:10,Debit,Los Angeles,ATM,20.0,Student,91.99999999999999,1.0,1659.15,2024-11-04 8:07:24,0,0,0
415.5,2023-07-28 16:29:23,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,2024-11-04 8:10:23,2,3,2
265.76,2023-02-06 17:48:55,Debit,Philadelphia,Online,54.0,Retired,91.99999999999999,1.0,4446.17,2024-11-04 8:12:18,1,2,0
69.4,2023-07-24 18:08:43,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,2024-11-04 8:09:04,0,4,2
267.9,2023-10-09 16:52:47,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,2024-11-04 8:08:34,1,0,1
496.0299999999999,2023-11-03 16:45:52,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,2024-11-04 8:09:41,2,3,1
376.26,2023-02-15 16:41:11,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,2024-11-04 8:09:58,2,1,0
35.76,2023-09-19 17:38:18,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999999,2024-11-04 8:11:40,0,0,1
28.53,2023-05-31 16:37:39,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,2024-11-04 8:06:30,0,3,2
307.57,2023-01-09 16:12:01,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,2024-11-04 8:06:33,1,1,0
74.86,2023-08-14 17:43:17,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,2024-11-04 8:07:39,0,4,2
297.65646754281164,2023-11-24 18:51:32,Debit,Kansas City,Branch,51.0,Retired,137.0,1.0,1475.46,2024-11-04 8:09:21,1,2,1
231.91,2023-01-31 18:31:22,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,2024-11-04 8:12:15,1,1,0
126.20999999999998,2023-02-14 16:07:01,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,2024-11-04 8:08:42,0,4,0
304.35,2023-12-04 17:07:34,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,2024-11-04 8:08:45,1,1,1
281.85,2023-05-16 17:26:37,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,2024-11-04 8:07:38,1,0,2
777.88,2023-03-20 16:58:12,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,2024-11-04 8:09:15,4,1,0
119.18,2023-08-25 18:01:38,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,2024-11-04 8:07:34,0,3,2
